queue,blocking,league,club,club_tm_id,player,player_tm_id,dob,fm_id,fifa_id,native_club_id,target_club_id,identity_method,profile_present,profile_name,profile_dob,profile_nationality,profile_position,profile_contract_until,profile_joined,profile_source_url,profile_source_sha256,current_employer_tm_id,current_employer,current_first_team_significance,current_significance_source_url,current_significance_source_sha256,current_significance_source_status,current_roster_position,current_roster_joined,current_roster_contract_until,current_roster_shirt_number,queue_source_url,queue_source_sha256,prior_audit_sources,prior_attempt_count,prior_identity_status,prior_identity_method,prior_native_fm_id,prior_native_fifa_id,prior_native_name,prior_native_dob,prior_native_club_id,prior_exact_candidates,prior_duplicate_leads,prior_fuzzy_candidates,prior_review_reason,prerequisite_category,missing_prerequisites,creation_action,escalation,snapshot_date
PLAYER_CREATION,YES,BEL1,Cercle Brügge,520,Bas Langenbick,993333,2003-06-16,,,,458755,MISSING_FROM_FM,YES,Bas Langenbick,2003-06-16,Belgien,Torwart,2028-06-30,2024-01-01,https://www.transfermarkt.de/bas-langenbick/profil/spieler/993333,ebc502a2296e4beff2a886c4df64de3fa45df382e2cbff13fa91e1ed1bb56bd6,520,Cercle Brügge,CURRENT_ROSTER_SOURCE_OBSERVED,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,CONFIRMED,Torwart,2024-01-01,2028-06-30,84,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,identity-resolutions | create-ready-review,2,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,,,,,,[],"[{""fm_id"":""236148"",""fifa_id"":""268069"",""name"":""Bas Langenbick"",""dob"":""2003-02-13"",""club_id"":""458755""}]",[],existing/fuzzy candidate retained for Sol review,PLAYER_CREATION_PREREQUISITE_MISSING,IDENTITY_AMBIGUITY_DUPLICATE_REVIEW_LEAD,HOLD_REVIEW_AFTER_PRIOR_ATTEMPTS,Sol,2026-09-12
PLAYER_CREATION,YES,BEL1,Cercle Brügge,520,Erick Nunes,1086381,2004-02-29,,,,458755,MISSING_FROM_FM,YES,Erick Nunes,2004-02-29,Brasilien,Mittelfeld - Rechtes Mittelfeld,2029-06-30,2025-07-01,https://www.transfermarkt.de/erick-nunes/profil/spieler/1086381,652cb2588f81bafc1d6ec1b37e98d4be542542a9ac03a88da6fe325742373258,520,Cercle Brügge,CURRENT_ROSTER_SOURCE_OBSERVED,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,CONFIRMED,Rechtes Mittelfeld,2025-07-01,2029-06-30,8,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,identity-resolutions | create-ready-review,2,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,,,,,,[],[],"[{""score"":0.6667,""fm_id"":""236115"",""fifa_id"":""70115"",""name"":""Erick"",""dob"":""2004-02-29"",""club_id"":""458755""}]",existing/fuzzy candidate retained for Sol review,PLAYER_CREATION_PREREQUISITE_MISSING,IDENTITY_AMBIGUITY_FUZZY_CANDIDATE,HOLD_REVIEW_AFTER_PRIOR_ATTEMPTS,Sol,2026-09-12
PLAYER_CREATION,YES,BEL1,Cercle Brügge,520,Steve Ngoura,923838,2005-02-22,,,,458755,MISSING_FROM_FM,YES,Steve Eyrolle Ngoura,2005-02-22,Frankreich Kamerun,Sturm - Mittelstürmer,2028-06-30,2025-01-07,https://www.transfermarkt.de/steve-ngoura/profil/spieler/923838,801a7ec45ce0cebb70424af894a35433f00cd03a0c5f894a1aaee91470792df6,520,Cercle Brügge,CURRENT_ROSTER_SOURCE_OBSERVED,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,CONFIRMED,Mittelstürmer,2025-01-07,2028-06-30,9,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,identity-resolutions | create-ready-review,2,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,,,,,,[],[],"[{""score"":0.7586,""fm_id"":""236110"",""fifa_id"":""271256"",""name"":""Steve N'Goura"",""dob"":""2005-02-22"",""club_id"":""458755""}]",existing/fuzzy candidate retained for Sol review,PLAYER_CREATION_PREREQUISITE_MISSING,IDENTITY_AMBIGUITY_FUZZY_CANDIDATE,HOLD_REVIEW_AFTER_PRIOR_ATTEMPTS,Sol,2026-09-12
PLAYER_CREATION,YES,BEL1,KAA Gent,157,Mouhamed Ngom,922792,2000-05-12,,,,458753,MISSING_FROM_FM,NO,,,,,,,,,157,KAA Gent,CURRENT_ROSTER_SOURCE_OBSERVED,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,CONFIRMED,Innenverteidiger,2026-07-13,2031-06-30,5,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,identity-confirmed,2,CONFIRMED,EXISTING_OVERRIDE_NAME_DOB,128455,0,Bachir Ngom,2000-05-12,458753,[],[],[],,EXISTING_NATIVE_IDENTITY_CONFIRMED,NONE_CREATION_NOT_REQUIRED,DO_NOT_CREATE_USE_NATIVE_BRIDGE,,2026-09-12
PLAYER_CREATION,YES,BEL1,KVC Westerlo,968,Jahnilo Wiegel-Triebel,1047424,2005-03-13,,,,458763,MISSING_FROM_FM,YES,Jahnilo Davon Jahzeël Wiegel-Triebel,2005-03-13,Suriname Niederlande,Torwart,2027-06-30,2026-07-01,https://www.transfermarkt.de/jahnilo-wiegel-triebel/profil/spieler/1047424,69ba41b494867d5c8c842654260cb8097acec4c8d681b77ce24d552a56c524d0,968,KVC Westerlo,CURRENT_ROSTER_SOURCE_OBSERVED,https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1,4b321535def794641a57896ea3b395b11fb16964a25bb51fab6f75bf5e2a3382,CONFIRMED,Torwart,2026-07-01,2027-06-30,21,https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1,4b321535def794641a57896ea3b395b11fb16964a25bb51fab6f75bf5e2a3382,identity-resolutions | create-ready-review,2,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,,,,,,[],"[{""fm_id"":""237699"",""fifa_id"":""0"",""name"":""Jahnilo Wiegel"",""dob"":""2005-03-13"",""club_id"":""471346""}]",[],existing/fuzzy candidate retained for Sol review,PLAYER_CREATION_PREREQUISITE_MISSING,IDENTITY_AMBIGUITY_DUPLICATE_REVIEW_LEAD,HOLD_REVIEW_AFTER_PRIOR_ATTEMPTS,Sol,2026-09-12
PLAYER_CREATION,YES,BEL1,KVC Westerlo,968,Sergiy Sydorchuk,124182,1991-05-02,,,,458763,MISSING_FROM_FM,NO,,,,,,,,,968,KVC Westerlo,CURRENT_ROSTER_SOURCE_OBSERVED,https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1,4b321535def794641a57896ea3b395b11fb16964a25bb51fab6f75bf5e2a3382,CONFIRMED,Defensives Mittelfeld,2023-09-05,2027-06-30,8,https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1,4b321535def794641a57896ea3b395b11fb16964a25bb51fab6f75bf5e2a3382,identity-confirmed,2,CONFIRMED,EXISTING_OVERRIDE_FIFA_DOB,235622,220948,Serhiy Sydorchuk,1991-05-02,458763,[],[],[],,EXISTING_NATIVE_IDENTITY_CONFIRMED,NONE_CREATION_NOT_REQUIRED,DO_NOT_CREATE_USE_NATIVE_BRIDGE,,2026-09-12
PLAYER_CREATION,YES,BEL1,Lommel SK,5026,Timothy Eyoma,406559,2000-01-29,,,,458783,MISSING_FROM_FM,YES,Timothy Joel Eyoma,2000-01-29,England Nigeria,Abwehr - Innenverteidiger,2027-06-30,2025-07-18,https://www.transfermarkt.de/timothy-eyoma/profil/spieler/406559,31868a1506eec4eb7873adc0676ff9161ac9063ee3ec46be9d5996ed75882e5a,5026,Lommel SK,CURRENT_ROSTER_SOURCE_OBSERVED,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1,9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a,CONFIRMED,Innenverteidiger,2025-07-18,2027-06-30,3,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1,9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a,identity-resolutions | create-ready-review,2,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,,,,,,[],[],"[{""score"":0.6087,""fm_id"":""237025"",""fifa_id"":""241040"",""name"":""TJ Eyoma"",""dob"":""2000-01-29"",""club_id"":""458783""}]",existing/fuzzy candidate retained for Sol review,PLAYER_CREATION_PREREQUISITE_MISSING,IDENTITY_AMBIGUITY_FUZZY_CANDIDATE,HOLD_REVIEW_AFTER_PRIOR_ATTEMPTS,Sol,2026-09-12
PLAYER_CREATION,YES,BEL1,Oud-Heverlee Leuven,2727,Viktor Damjanic,946964,2005-11-03,,,,458775,MISSING_FROM_FM,YES,Viktor Damjanić,2005-11-03,Kroatien,Abwehr - Innenverteidiger,2028-06-30,2025-07-23,https://www.transfermarkt.de/viktor-damjanic/profil/spieler/946964,44103bff85743ef630b92ac7603855af785b9a6cd3c0b9278ee0388af5c0bfb0,2727,Oud-Heverlee Leuven,CURRENT_ROSTER_SOURCE_OBSERVED,https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1,13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e,CONFIRMED,Innenverteidiger,2025-07-23,2028-06-30,15,https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1,13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e,identity-resolutions | create-ready-review,2,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,,,,,,[],"[{""fm_id"":""235954"",""fifa_id"":""80004"",""name"":""Viktor Damjanić"",""dob"":""2005-03-11"",""club_id"":""458775""}]",[],existing/fuzzy candidate retained for Sol review,PLAYER_CREATION_PREREQUISITE_MISSING,IDENTITY_AMBIGUITY_DUPLICATE_REVIEW_LEAD,HOLD_REVIEW_AFTER_PRIOR_ATTEMPTS,Sol,2026-09-12
PLAYER_CREATION,YES,BEL1,Royal Antwerpen FC,1096,Farouck Adekami,1293796,2006-08-07,,,,458785,MISSING_FROM_FM,YES,Muhammed Farouck Adekami,2006-08-07,Elfenbeinküste,Mittelfeld - Offensives Mittelfeld,2027-06-30,2025-01-01,https://www.transfermarkt.de/farouck-adekami/profil/spieler/1293796,5db1d224c0af63d206a51643605a1b2c27a05cf96223e684ae16619d5c8c07d2,1096,Royal Antwerpen FC,CURRENT_ROSTER_SOURCE_OBSERVED,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,CONFIRMED,Offensives Mittelfeld,2025-01-01,2027-06-30,22,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,identity-resolutions | create-ready-review,2,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,,,,,,[],"[{""fm_id"":""235351"",""fifa_id"":""74313"",""name"":""Farouck Adekami"",""dob"":""2006-02-13"",""club_id"":""458785""}]",[],existing/fuzzy candidate retained for Sol review,PLAYER_CREATION_PREREQUISITE_MISSING,IDENTITY_AMBIGUITY_DUPLICATE_REVIEW_LEAD,HOLD_REVIEW_AFTER_PRIOR_ATTEMPTS,Sol,2026-09-12
PLAYER_CREATION,YES,BEL1,Royal Charleroi SC,172,Check Keita,820146,2003-04-02,,,,458761,MISSING_FROM_FM,YES,Check Keita,2003-04-02,Mali Frankreich,Abwehr - Innenverteidiger,2027-06-30,2024-07-04,https://www.transfermarkt.de/check-keita/profil/spieler/820146,8d790d89a7700fc2dd8ef7bf9c07c789b4839a8881af9ecee892f374d8ee37d0,172,Royal Charleroi SC,CURRENT_ROSTER_SOURCE_OBSERVED,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,CONFIRMED,Innenverteidiger,2024-07-04,2027-06-30,95,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,identity-resolutions | create-ready-review,2,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,,,,,,[],[],"[{""score"":0.9524,""fm_id"":""235539"",""fifa_id"":""272407"",""name"":""Cheick Keita"",""dob"":""2003-04-02"",""club_id"":""458761""}]",existing/fuzzy candidate retained for Sol review,PLAYER_CREATION_PREREQUISITE_MISSING,IDENTITY_AMBIGUITY_FUZZY_CANDIDATE,HOLD_REVIEW_AFTER_PRIOR_ATTEMPTS,Sol,2026-09-12
