player_tm_id,creation_fm_id,creation_name,dob,creation_nationality1,creation_nationality2,creation_club_id,profile_full_name,profile_club_tm_id,loan_owner_tm_id,owner_contract_until,loan_end,candidate_fm_id,candidate_fifa_id,candidate_name,candidate_common_name,candidate_nationality,candidate_club_id,name_similarity,surname_similarity,decision,reason,source,source_sha256,snapshot_date
107665,1000024821,Filip Novak,1990-06-26,12,0,786437,Filip Novák,1322,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/fk-jablonec/kader/verein/1322/saison_id/2026/plus/1,fa6bc207fa67c20e0cd9ca574d81e19d3d8b6b77840b71993b1620a5a4b28b21,2026-09-12
187203,1000024823,Eric Verstappen,1994-05-19,34,0,1376282,,,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/eric-verstappen/profil/spieler/187203,f725240eef1536865fb62a0ad9a6a0d8b45745ec73772fcb06bb0cfb7bdbd2db,2026-09-12
272619,1000024826,Romain Cagnon,1997-05-12,18,0,1179685,,3911,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/romain-cagnon/profil/spieler/272619,dd5a290c2ea07eebda93410295d4966a56c232a72a55a3218f14ee4b4ef3b29e,2026-09-12
453704,1000024827,Álvaro Ferllo,1998-04-13,45,0,2949127,Álvaro Fernández Llorente,897,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/deportivo-a-coruna/kader/verein/897/saison_id/2026/plus/1,7550b0f31442bf21d6149b2642a4ee1c6a58307c97068ea0c26d45e205ddb6c5,2026-09-12
482386,1000024828,Qëndrim Zyba,2001-02-03,207,0,786438,,697,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/fc-slovan-liberec/kader/verein/697/saison_id/2026/plus/1,6aba2d7156fcbb82e5f0f245492c388de338ad498bd8ff4bd953a9b7fb194317,2026-09-12
528222,1000024830,Lorenz Ender,2001-01-06,21,0,1376306,,,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/lorenz-ender/profil/spieler/528222,819f85a5d1af3bde7298e3f9f736b55c2ce9207c82a31138f06d823082aa5b74,2026-09-12
648541,1000024838,Gabi Caschili,2003-07-14,34,27,2228252,Gabrielle Caschili,1434,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/gabi-caschili/profil/spieler/648541,32aebda1d903bd78fe1ea2ee28c3b7ad20418b68617585cebd6a224544c0ee51,2026-09-12
747243,1000024845,Gyan de Regt,2003-08-18,34,0,1376418,,,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/gyan-de-regt/profil/spieler/747243,91f1001c00d18d82ae563dc905ff8a875c903688316fbc52345147eae39ff836,2026-09-12
768562,1000024848,Bénito,2003-08-21,18,107,2490394,,2431,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/cf-estrela-amadora/kader/verein/2431/saison_id/2026/plus/1,518e3a2e95f5774700d01db49dd50f80d4ccbc790493950412b68c785a7de654,2026-09-12
810846,1000024849,Kaylen,2004-04-05,21,54,2228247,,385,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/kaylen/profil/spieler/810846,b186e93809e1c410f1aea6a45ae06f6e55c4c824242dd5688e149df946158333,2026-09-12
839551,1000024850,Ondrej Kricfalusi,2004-03-09,12,0,458780,Ondřej Kričfaluši,3948,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/ondrej-kricfalusi/profil/spieler/839551,ddff822ca38b5b072162f8b442ad5ae213100c1ecb6d17b00bcdc2c284d04d99,2026-09-12
946964,1000024854,Viktor Damjanic,2005-11-03,10,0,458775,Viktor Damjanić,2727,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1,13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e,2026-09-12
