row_id,decision,resolution_status,resolution_basis,resolved_state_json,queue,blocking,reason,league,club,club_tm_id,player,player_tm_id,dob,fm_id,fifa_id,native_club_id,target_club_id,identity_method,source,source_sha256,snapshot_date
FM27-6f26dad88053d4552d35d72d,,AWAITING_EXTERNAL_RESOLUTION,,,CONTRACT_CHRONOLOGY,YES,Joined/end/shirt fields are incomplete or invalid,BEL1,Lommel SK,5026,Melvin Ramundo,1451840,2007-09-07,237038,0,458783,458783,DOB_NAME,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1,9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a,2026-09-12
FM27-e93ac663f1ae6049d006afbe,,AWAITING_EXTERNAL_RESOLUTION,,,CONTRACT_CHRONOLOGY,YES,Joined/end/shirt fields are incomplete or invalid,BEL1,Oud-Heverlee Leuven,2727,Sebastian Murru,1179829,2007-03-16,235960,0,458775,458775,DOB_NAME,https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1,13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e,2026-09-12
FM27-ab2d932e1c1d0aadb73833be,,AWAITING_EXTERNAL_RESOLUTION,,,CONTRACT_CHRONOLOGY,YES,Joined/end/shirt fields are incomplete or invalid,BEL1,Royal Antwerpen FC,1096,Aaron Ibrahim,1135426,2008-08-02,235372,0,458785,458785,DOB_NAME,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,2026-09-12
FM27-1348f18d8f7857a99e7169a6,,AWAITING_EXTERNAL_RESOLUTION,,,CONTRACT_CHRONOLOGY,YES,Joined/end/shirt fields are incomplete or invalid,BEL1,Royal Charleroi SC,172,Arthur Cremer,548619,2000-08-18,237880,0,458772,458761,DOB_NAME,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,2026-09-12
FM27-44e40f12c9f2dd36e355eba5,,AWAITING_EXTERNAL_RESOLUTION,,,CONTRACT_CHRONOLOGY,YES,Joined/end/shirt fields are incomplete or invalid,BEL1,Royal Charleroi SC,172,Boubakar Dembaga,1173870,2006-06-07,284502,0,1179655,458761,DOB_NAME,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,2026-09-12
FM27-0d343b5ff4590c8e4b503b5e,,AWAITING_EXTERNAL_RESOLUTION,,,CONTRACT_CHRONOLOGY,YES,Joined/end/shirt fields are incomplete or invalid,BEL1,Royal Charleroi SC,172,Isaac Cissé,1145004,2006-10-10,36543,0,9175042,458761,DOB_NAME,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,2026-09-12
FM27-309ebfd030fb1abef9d7f201,,AWAITING_EXTERNAL_RESOLUTION,,,CONTRACT_CHRONOLOGY,YES,Joined/end/shirt fields are incomplete or invalid,BEL1,Royal Charleroi SC,172,Rafaël Teugels,1084207,2006-06-07,235558,0,458761,458761,DOB_NAME,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,2026-09-12
FM27-e06ad18dfeff030474167da9,,AWAITING_EXTERNAL_RESOLUTION,,,CONTRACT_CHRONOLOGY,YES,Joined/end/shirt fields are incomplete or invalid,BEL1,VV St. Truiden,475,Ahmad Abu Rasen,1159156,2003-11-02,76846,277063,11993090,458759,DOB_NAME,https://www.transfermarkt.de/vv-st-truiden/kader/verein/475/saison_id/2026/plus/1,c0e976a963b2c1507ec52e39bab62ae405f89e7c2149e5b8ecc88e56b4f6ff7a,2026-09-12
FM27-f21487776a8c0ce88e0aa3b4,,AWAITING_EXTERNAL_RESOLUTION,,,CONTRACT_CHRONOLOGY,YES,Joined/end/shirt fields are incomplete or invalid,BEL1,VV St. Truiden,475,Ryotaro Araki,566011,2002-01-29,307148,255438,10682372,458759,DOB_NAME,https://www.transfermarkt.de/vv-st-truiden/kader/verein/475/saison_id/2026/plus/1,c0e976a963b2c1507ec52e39bab62ae405f89e7c2149e5b8ecc88e56b4f6ff7a,2026-09-12
FM27-1423b22dcdce21b63b6b6947,,AWAITING_EXTERNAL_RESOLUTION,,,CONTRACT_CHRONOLOGY,YES,Joined/end/shirt fields are incomplete or invalid,BEL1,Zulte Waregem,3508,Florian Van Bever,1314653,2007-10-02,236225,0,458782,458782,DOB_NAME,https://www.transfermarkt.de/zulte-waregem/kader/verein/3508/saison_id/2026/plus/1,0acbb0eca1723445958969f80be44f59778e527ba0095de244c35e56e3b9068e,2026-09-12
