competition_id,club_id,team_type
117506048,458755,FIRST
117506048,458756,FIRST
117506048,458753,FIRST
117506048,458768,FIRST
117506048,458781,FIRST
117506048,458787,FIRST
117506048,458763,FIRST
117506048,458783,FIRST
117506048,458775,FIRST
117506048,471041,FIRST
117506048,458766,FIRST
117506048,458785,FIRST
117506048,458761,FIRST
117506048,458788,FIRST
117506048,458760,FIRST
117506048,458780,FIRST
117506048,458759,FIRST
117506048,458782,FIRST
117506049,458756,RESERVE
117506049,458795,FIRST
117506049,458768,RESERVE
117506049,458753,RESERVE
117506049,458802,FIRST
117506049,462931,FIRST
117506049,458773,FIRST
117506049,462858,FIRST
117506049,458793,FIRST
117506049,458801,FIRST
117506049,458822,FIRST
117506049,458772,FIRST
117506049,462979,FIRST
117506049,458766,RESERVE
117506049,462867,FIRST
117506050,458786,FIRST
117506050,471796,FIRST
117506050,471094,FIRST
117506050,471091,FIRST
117506050,462983,FIRST
117506050,458761,RESERVE
117506050,458780,RESERVE
117506050,458792,FIRST
117506050,458760,RESERVE
117506050,471777,FIRST
117506050,471214,FIRST
117506050,471807,FIRST
117506051,462982,FIRST
117506051,462851,FIRST
117506051,458790,FIRST
117506051,458771,FIRST
117506051,471472,FIRST
117506051,458794,FIRST
117506051,471082,FIRST
117506051,458755,RESERVE
117506051,471265,FIRST
117506051,462852,FIRST
117506051,458775,RESERVE
117506051,471177,FIRST
117506051,471927,FIRST
117506051,471838,FIRST
117506051,471346,FIRST
117506051,471836,FIRST
117506052,471635,FIRST
117506052,458799,FIRST
117506052,471364,FIRST
117506052,462899,FIRST
117506052,471929,FIRST
117506052,471848,FIRST
117506052,462875,FIRST
117506052,471156,FIRST
117506052,471656,FIRST
117506052,471378,FIRST
117506052,471299,FIRST
117506052,471934,FIRST
117506052,471204,FIRST
117506052,471274,FIRST
117506052,471837,FIRST
117506052,471827,FIRST
117506052,471648,FIRST
117506052,471898,FIRST
117506053,471205,FIRST
117506053,458782,RESERVE
117506053,471503,FIRST
117506053,462854,FIRST
117506053,462981,FIRST
117506053,462920,FIRST
117506053,462916,FIRST
117506053,471090,FIRST
117506053,462860,FIRST
117506053,462976,FIRST
117506053,458787,RESERVE
117506053,471938,FIRST
117506053,458779,FIRST
117506053,471823,FIRST
117506053,471488,FIRST
117506053,458821,FIRST
117506054,462849,FIRST
117506054,462865,FIRST
117506054,458785,RESERVE
117506054,462855,FIRST
117506054,471309,FIRST
117506054,458803,FIRST
117506054,471258,FIRST
117506054,471815,FIRST
117506054,458759,RESERVE
117506054,462895,FIRST
117506054,458800,FIRST
117506054,471112,FIRST
117506054,462864,FIRST
117506054,462907,FIRST
117506054,471208,FIRST
117506054,471531,FIRST
0,471865,FIRST
0,471488,FIRST
