competition_id,club_id,team_type
352387074,1376306,FIRST
352387074,1376436,FIRST
352387074,1376287,FIRST
352387074,1376419,FIRST
352387074,1376265,FIRST
352387074,1376446,FIRST
352387074,1376406,FIRST
352387074,1376282,FIRST
352387074,1376439,FIRST
352387074,1376315,FIRST
352387074,1376540,FIRST
352387074,1376276,FIRST
352387074,1376347,FIRST
352387074,1376429,FIRST
352387074,1376272,RESERVE
352387074,1376301,FIRST
352387074,1376285,FIRST
352387074,1376433,RESERVE
352387074,1376444,FIRST
352387074,1376539,FIRST
352387075,1376268,RESERVE
352387075,1376428,FIRST
352387075,1380385,FIRST
352387075,1376271,RESERVE
352387075,1380357,FIRST
352387075,1384964,FIRST
352387075,1376422,FIRST
352387075,1376267,RESERVE
352387075,1388585,FIRST
352387075,1376425,RESERVE
352387075,1376483,FIRST
352387075,1376568,FIRST
352387075,1380363,FIRST
352387075,1378814,FIRST
352387075,1380379,FIRST
352387075,1384581,FIRST
352387075,1376683,FIRST
352387075,1376340,FIRST
352387076,1376497,FIRST
352387076,1376366,FIRST
352387076,1376281,FIRST
352387076,1376494,FIRST
352387076,1376427,FIRST
352387076,1376554,FIRST
352387076,1376417,FIRST
352387076,1376358,FIRST
352387076,1378815,FIRST
352387076,1376269,RESERVE
352387076,1376277,FIRST
352387076,1376552,FIRST
352387076,1376351,FIRST
352387076,1380447,FIRST
352387076,1376607,FIRST
352387076,1376376,FIRST
352387076,1376373,RESERVE
352387076,1376361,FIRST
352387077,1376262,RESERVE
352387077,1376410,FIRST
352387077,1376414,FIRST
352387077,1376286,FIRST
352387077,1378738,FIRST
352387077,1380503,FIRST
352387077,1376263,RESERVE
352387077,1376275,RESERVE
352387077,1376421,RESERVE
352387077,1376385,FIRST
352387077,1376429,RESERVE
352387077,1376543,FIRST
352387077,1376424,FIRST
352387077,1376266,RESERVE
352387077,1376380,FIRST
352387077,1376382,FIRST
352387077,1376437,FIRST
352387077,1376273,RESERVE
352387078,1376298,FIRST
352387078,1376434,FIRST
352387078,1376299,FIRST
352387078,1384572,FIRST
352387078,1376329,FIRST
352387078,1376438,FIRST
352387078,1376270,RESERVE
352387078,1376392,FIRST
352387078,1376321,FIRST
352387078,1378846,FIRST
352387078,1376560,FIRST
352387078,1376259,RESERVE
352387078,1376289,FIRST
352387078,1376469,FIRST
352387078,1376297,FIRST
352387078,1376569,FIRST
352387078,1378858,FIRST
352387078,1376334,FIRST
352387079,1376292,FIRST
352387079,1376572,FIRST
352387079,1376288,RESERVE
352387079,1376264,RESERVE
352387079,1376441,FIRST
352387079,1376291,FIRST
352387079,1376290,FIRST
352387079,1384541,FIRST
352387079,1376571,FIRST
352387079,1376465,FIRST
352387079,1376258,RESERVE
352387079,1376431,RESERVE
352387079,1378770,FIRST
352387079,1384981,FIRST
352387079,1376331,FIRST
352387079,1378786,FIRST
352387079,1376312,FIRST
352387079,1378782,FIRST
352387079,1376467,FIRST
352387083,1389307,FIRST
352387083,1384844,FIRST
352387083,1384566,FIRST
352387083,1376553,FIRST
352387083,1376347,RESERVE
352387083,1380391,FIRST
352387083,1380399,FIRST
352387083,1380390,FIRST
352387083,1376536,FIRST
352387083,1378813,FIRST
352387083,1376426,RESERVE
352387083,1384553,FIRST
352387083,1378742,FIRST
352387083,1380463,FIRST
352387083,1389302,FIRST
352387083,1376565,FIRST
352387085,1376374,FIRST
352387085,1384839,FIRST
352387085,1376606,FIRST
352387085,1388978,FIRST
352387085,1376369,FIRST
352387085,1376776,FIRST
352387085,1376370,FIRST
352387085,1380446,FIRST
352387085,1376363,FIRST
352387085,1388820,FIRST
352387085,1380437,FIRST
352387085,1376375,FIRST
352387085,1378821,FIRST
352387085,1384605,FIRST
352387085,1380441,FIRST
352387085,1388971,FIRST
352387086,1389759,FIRST
352387086,1384567,FIRST
352387086,1376965,FIRST
352387086,1376408,FIRST
352387086,1376412,FIRST
352387086,1376407,FIRST
352387086,1376423,FIRST
352387086,1376419,RESERVE
352387086,1378830,FIRST
352387086,1388629,FIRST
352387086,1376406,RESERVE
352387086,1376284,FIRST
352387086,1389313,FIRST
352387086,1389218,FIRST
352387086,1378828,FIRST
352387086,1376415,FIRST
352387086,1389216,FIRST
352387086,1376453,FIRST
352387086,1376260,RESERVE
0,1376368,FIRST
0,1376965,FIRST
0,1389307,FIRST
