player_tm_id,fm_id,fifa_id,dob,status,identity_method,source,source_sha256,snapshot_date,collision_before_block_sha256,collision_after_block_sha256
191829,200401,229703,1994-04-04,CONFIRMED,DRAFT04_STRING_ID_COLLISION_ALIAS,https://www.transfermarkt.de/dimitrios-goutas/profil/spieler/191829,fe2be9c537825fe64b369b25a5c7aac2d3c8a9098f306bc44241d234dba680b3,2026-09-12,ddd089f0f07d1b9fb69d7be33b90e29a5c1694aec04308384f8053acb51619f5,97fdc8a37b15ae2e9b493bc8dd91fe37faf1acd44b4c2234d2d26dcb74a6ea01
211628,285154,262744,1995-11-27,CONFIRMED,DRAFT04_STRING_ID_COLLISION_ALIAS,https://www.transfermarkt.de/mohamed-bouldini/profil/spieler/211628,2e794db9c874f662a1b1740acaa0f324fb151e8512818b398c9a21f289d3556e,2026-09-12,fc7b1cf269016841fcb49e691bae8a8f06f7fed6f437051b5f18b1afcd8fad9a,83a7f737f04a2737d2216f84e07054239519b10acd32f94703343a0b9e29fa25
486031,284973,240690,1998-04-06,CONFIRMED,DRAFT04_STRING_ID_COLLISION_ALIAS,https://www.transfermarkt.de/juventus-turin/kader/verein/506/saison_id/2026/plus/1,0009d8e86a1fcff175fb368bcdc9cac816372b11375dc9917e504e11cc3f9b54,2026-09-12,5914809bbc1c00af23b16bb3e1870175169ad4425456abe961bfd72db654cdf6,e1801e862194ec4b43d6ecc2635f71c33b3f4933ec66ea79a4efff2585adc180
537844,288116,250753,2001-08-01,CONFIRMED,DRAFT04_STRING_ID_COLLISION_ALIAS,https://www.transfermarkt.de/anatoliy-trubin/profil/spieler/537844,f026c7abf7f57433572c38afd4cbf7924673c043ffc106ddd53f46bf38169590,2026-09-12,2bfbf68b69167c1a653f8a3b3a0b6b4ddf59335b30d7cd136968cfe056fa0b18,b8813354b08501f76881460b7d85a32134166a825d04d17c1c4079e102046606
584452,153244,263555,2001-03-23,CONFIRMED,DRAFT04_STRING_ID_COLLISION_ALIAS,https://www.transfermarkt.de/nikolaos-michelis/profil/spieler/584452,6fe07221674555f4bfd05c719acbb657c2fee56d3bc0dbf0b0cc999bb3231f83,2026-09-12,80736b0dfa2e65662cc3f259fb37de2638211504f739662404318a36447e106a,c152bc1542cbca7435c46f84e4a56566510d2ae3037ad4e688cc702490eedb59
669380,99998,270077,2003-11-28,CONFIRMED,DRAFT04_STRING_ID_COLLISION_ALIAS,https://www.transfermarkt.de/konstantinos-koulierakis/profil/spieler/669380,24b70e8cbf6f8eba06502e6c9f5dcafae2a2df99cc7e2d4ca2dc39d9c6feda87,2026-09-12,15a3d5a983c7575b6d866ee11c3018faf8d0d0e05422a6e662f1065fb82d1c4d,013fafaf4396b6bfc9d7b75cf17bc7c51d1aec842d21b982a3b30e61dd831aa1
683571,23757,258911,2000-11-23,CONFIRMED,DRAFT04_STRING_ID_COLLISION_ALIAS,https://www.transfermarkt.de/ajax-amsterdam/kader/verein/610/saison_id/2026/plus/1,f5e17e90fd0fa7a2962da880b80d3f5be8fc736c45ff9203a638be8e951725f8,2026-09-12,479a6c15233974d4a89cfc67afe0253bd8bc0bb52cca3d1bc099d7f704d01b63,170c486e7ca2b7a97d9166aa0a5f374e1924810cfef426784ffd5150ac51d291
1052374,206551,0,2003-03-25,CONFIRMED,DRAFT04_STRING_ID_COLLISION_ALIAS,https://www.transfermarkt.de/yevgeniy-skyba/profil/spieler/1052374,e20940a39060e2fac9edd7d599a088d929316c07b6b416a655df17697a0d7d2e,2026-09-12,4250988231e087bb7021795684c46733cb3e2bb665bbecdccd07c5999e6c6073,94f13dd4092c3a634228559ac675eb0ccfed8ef0b7337b1155e7113afd0d89b6
1057394,289780,78193,2003-07-10,CONFIRMED,DRAFT04_STRING_ID_COLLISION_ALIAS,https://www.transfermarkt.de/fc-malaga/kader/verein/1084/saison_id/2026/plus/1,010cc01e9ffddb589e8d4eee92742f40620b134f4175b7670f0053ce4e9c9309,2026-09-12,f27106972058b4bca50ca3a670392d5e2549fa443194f51fd78637a5adc90df1,427f25e5e5027782e1c1ac8d1a408a5ad3cee1dc2364899e673f2bb8f170b457
1118347,231683,275647,2005-10-10,CONFIRMED,DRAFT04_STRING_ID_COLLISION_ALIAS,https://www.transfermarkt.de/udinese-calcio/kader/verein/410/saison_id/2026/plus/1,7fdfe70ee199497c7c8bba7f008dea4b0f8e1ab4fec8c51d19f4eb9f681c5506,2026-09-12,8dbefa22d8837b6af4e96f71237936a8896b84078e846125b726fc969b026400,91e3cd9fb099fd5e79704203c9e7210fe0d0e67f2478d687911ea4aab5e5c9db
1178721,284428,71972,2005-01-30,CONFIRMED,DRAFT04_STRING_ID_COLLISION_ALIAS,https://www.transfermarkt.de/espanyol-barcelona/kader/verein/714/saison_id/2026/plus/1,f5fd71d6b5ea7b87f29f37eb3da79bb27abc3bb54aefcdd2f5ded14c3919697d,2026-09-12,8ca5d1d0de5d2f00a22a454700bf725728538a684be257505a50d514c3e87f33,170b8e723d3519c35d504dfa4778ef42ed0ba42dd0053563ca1172565405f896
