player_tm_id,fm_id,fifa_id,dob,status,identity_method,source,source_sha256,snapshot_date
1086381,236115,70115,2004-02-29,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/erick-nunes/profil/spieler/1086381,652cb2588f81bafc1d6ec1b37e98d4be542542a9ac03a88da6fe325742373258,2026-09-12
923838,236110,271256,2005-02-22,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/steve-ngoura/profil/spieler/923838,801a7ec45ce0cebb70424af894a35433f00cd03a0c5f894a1aaee91470792df6,2026-09-12
406559,237025,241040,2000-01-29,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/timothy-eyoma/profil/spieler/406559,31868a1506eec4eb7873adc0676ff9161ac9063ee3ec46be9d5996ed75882e5a,2026-09-12
820146,235539,272407,2003-04-02,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/check-keita/profil/spieler/820146,8d790d89a7700fc2dd8ef7bf9c07c789b4839a8881af9ecee892f374d8ee37d0,2026-09-12
743377,236612,0,2005-10-17,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/noah-mawete/profil/spieler/743377,e5652f7dda03cd4e6acaa21bab2daeccf23cdb35b94c1f086e81f1327c8c6862,2026-09-12
1118150,295986,76097,2003-12-04,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/emmanuel-uchenna/profil/spieler/1118150,13f3f1f45cde9943f86bd88cfd9aad1451b9848785dcf2140ceb90863b227f82,2026-09-12
1118054,296616,0,2004-11-29,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/abdullahi-bewene/profil/spieler/1118054,247feea597ba63938c0834d076bbfdc5fc0a3482f850c5a30fc51b88d2b2dbb8,2026-09-12
945763,285015,0,2004-05-05,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/dani-martinez/profil/spieler/945763,cd4fb4bda33deb76e31267b408699ebc02fae4c21e16e0902f8fa4a3fde2e88f,2026-09-12
1076815,283252,279027,2003-06-27,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/javi-rodriguez/profil/spieler/1076815,a3837987724c154dc4d30cf780aeb32c0a4fd259bfbd5399b03615e63cf948bd,2026-09-12
357628,281324,243034,1999-05-04,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/alfon-gonzalez/profil/spieler/357628,958049c6ceb92413578fcd755664c9b3c7fad0fb68f46c2f023b3658e964d3bd,2026-09-12
1055220,281753,278394,2005-06-24,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/fran-gonzalez/profil/spieler/1055220,e244dd6c391d697c27db0e2a558125bc4aa7f82d6026fe2b632744860cc4552f,2026-09-12
341264,281737,246606,1999-08-14,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/fran-garcia/profil/spieler/341264,729ecb7ecc648e77f08151fb321dc499eed8dac9f4b617f8a99ca0151c20fea3,2026-09-12
341263,281182,245290,1999-02-26,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/adrian-dela/profil/spieler/341263,5f92c5d4f201739d35e3048b8252fdd53273d0de0cd6ee5b01ea137a38b323a7,2026-09-12
350219,283449,226271,1996-04-03,CONFIRMED,CACHED_PROFILE_NATIVE08_ALIAS,https://www.transfermarkt.de/fabian-ruiz/profil/spieler/350219,bc633e4f4c5676cf3b20c6867a6802ab8fb542c7816a064a3e89e2670016dc7d,2026-09-12
